state,population_2015,population_2017,population_2020,population_change_2017,population_change_2020,total_population_change
Oklahoma,3849733,3896251,3954821,46518,58570,105088
North Carolina,9845333,10052564,10611862,207231,559298,766529
Colorado,5278906,5436519,5845526,157613,409007,566620
Mississippi,2988081,2986220,2989260,-1861,3040,1179
Florida,19645772,20278447,21992985,632675,1714538,2347213
Vermont,626604,624636,628061,-1968,3425,1457
Delaware,926454,943732,982895,17278,39163,56441
Nevada,2798636,2887725,3139658,89089,251933,341022
Louisiana,4625253,4663461,4645184,38208,-18277,19931
New York,19673174,19798228,19440469,125054,-357759,-232705
West Virginia,1851420,1836843,1778070,-14577,-58773,-73350
South Carolina,4777576,4893444,5210095,115868,316651,432519
New Jersey,8904413,8960161,8936574,55748,-23587,32161
New Mexico,2084117,2084828,2096640,711,11812,12523
Hawaii,1406299,1421658,1412687,15359,-8971,6388
Arkansas,2958208,2977944,3038999,19736,61055,80791
Missouri,6045448,6075300,6169270,29852,93970,123822
Connecticut,3593222,3594478,3563077,1256,-31401,-30145
South Dakota,843190,855444,903027,12254,47583,59837
District of Columbia,647484,672391,720687,24907,48296,73203
Indiana,6568645,6614418,6745354,45773,130936,176709
Iowa,3093526,3118102,3179849,24576,61747,86323
Massachusetts,6705586,6789319,6976597,83733,187278,271011
Rhode Island,1053661,1056138,1056161,2477,23,2500
Ohio,11575977,11609756,11747694,33779,137938,171717
Michigan,9900571,9925568,10045029,24997,119461,144458
Minnesota,5419171,5490726,5700671,71555,209945,281500
Pennsylvania,12779559,12790505,12820878,10946,30373,41319
Washington,6985464,7169967,7797095,184503,627128,811631
Wisconsin,5742117,5763217,5851754,21100,88537,109637
Montana,1014699,1029862,1086759,15163,56897,72060
Kentucky,4397353,4424376,4499692,27023,75316,102339
Arizona,6641928,6809946,7378494,168018,568548,736566
Illinois,12873761,12854526,12659682,-19235,-194844,-214079
Virginia,8256630,8365952,8626207,109322,260255,369577
Maryland,5930538,5996079,6083116,65541,87037,152578
Georgia,10006693,10201635,10736059,194942,534424,729366
Wyoming,579679,583200,567025,3521,-16175,-12654
Utah,2903379,2993941,3282115,90562,288174,378736
New Hampshire,1324201,1331848,1371246,7647,39398,47045
North Dakota,721640,745475,761723,23835,16248,40083
Nebraska,1869365,1893921,1952570,24556,58649,83205
Maine,1329100,1330158,1345790,1058,15632,16690
California,38421464,38982847,39937489,561383,954642,1516025
Tennessee,6499615,6597381,6897576,97766,300195,397961
Kansas,2892987,2903820,2910357,10833,6537,17370
Texas,26538614,27419612,29472295,880998,2052683,2933681
Oregon,3939233,4025127,4301089,85894,275962,361856
Idaho,1616547,1657375,1826156,40828,168781,209609
Alabama,4830620,4850771,4908621,20151,57850,78001
Alaska,733375,738565,734002,5190,-4563,627
